class name;;Method name;;number of detected pattern;;method Declaration;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
*;;*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;$z4 = virtualinvoke r2.<java.awt.image.ColorModel: boolean isAlphaPremultiplied()>();;pattern detected param  r1 must not be null it define a local r2which used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;$i2 = virtualinvoke r2.<java.awt.image.ColorModel: int getPixelSize()>();;pattern detected param  r1 must not be null it define a local r2which used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;$i4 = virtualinvoke r2.<java.awt.image.ColorModel: int getTransparency()>();;pattern detected param  r1 must not be null it define a local r2which used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;$i6 = virtualinvoke r2.<java.awt.image.ColorModel: int getNumComponents()>();;pattern detected param  r1 must not be null it define a local r2which used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;r3 = virtualinvoke r2.<java.awt.image.ColorModel: int[] getComponentSize()>();;pattern detected param  r1 must not be null it define a local r2which used in  InvokeExpr 
java.awt.image.ColorModel;;getGray8TosRGB8LUT;;1;;static byte[] getGray8TosRGB8LUT(java.awt.color.ICC_ColorSpace);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r14 = virtualinvoke r0.<java.awt.color.ICC_ColorSpace: java.awt.color.ICC_Profile getProfile()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
java.awt.image.ColorModel;;getLinearGray16ToOtherGray8LUT;;1;;static byte[] getLinearGray16ToOtherGray8LUT(java.awt.color.ICC_ColorSpace);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r15 = virtualinvoke r0.<java.awt.color.ICC_ColorSpace: java.awt.color.ICC_Profile getProfile()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
java.awt.image.ColorModel;;getGray16TosRGB8LUT;;1;;static byte[] getGray16TosRGB8LUT(java.awt.color.ICC_ColorSpace);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r14 = virtualinvoke r0.<java.awt.color.ICC_ColorSpace: java.awt.color.ICC_Profile getProfile()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
java.awt.image.ColorModel;;getLinearGray16ToOtherGray16LUT;;1;;static short[] getLinearGray16ToOtherGray16LUT(java.awt.color.ICC_ColorSpace);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r15 = virtualinvoke r0.<java.awt.color.ICC_ColorSpace: java.awt.color.ICC_Profile getProfile()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
java.awt.RenderingHints;;put;;1;;public java.lang.Object put(java.lang.Object, java.lang.Object);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for local initialized from param;;$z0 = virtualinvoke $r4.<java.awt.RenderingHints$Key: boolean isCompatibleValue(java.lang.Object)>(r2);;pattern detected param  r1 must not be null it define a local $r4which used in  InvokeExpr 
java.awt.RenderingHints;;add;;1;;public void add(java.awt.RenderingHints);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$r3 = r1.<java.awt.RenderingHints: java.util.HashMap hintmap>;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.awt.RenderingHints;;putAll;;1;;public void putAll(java.util.Map);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r5 = interfaceinvoke r1.<java.util.Map: java.util.Set entrySet()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r11 = interfaceinvoke r1.<java.util.Map: java.util.Set entrySet()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.awt.RenderingHints;;equals;;1;;public boolean equals(java.lang.Object);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$r4 = $r3.<java.awt.RenderingHints: java.util.HashMap hintmap>;;pattern detected param  r1 must not be null it define a local $r3which used in  FieldRef 
java.awt.image.Raster;;createInterleavedRaster;;1;;public static java.awt.image.WritableRaster createInterleavedRaster(int, int, int, int, int, int[], java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r0;;3;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;i6 = r0[0];;pattern detected param  r0 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i8 = r0[i7];;pattern detected param  r0 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;*;;ArrayRef for param;;i6 = r0[i7];;pattern detected param  r0 must not be null  because used in  ArrayRef 
java.awt.image.Raster;;createBandedRaster;;2;;public static java.awt.image.WritableRaster createBandedRaster(int, int, int, int, int[], int[], java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r4;;pattern detected param  r0 must not be null  otherwise an exception is thrown 
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r5;;pattern detected param  r1 must not be null  otherwise an exception is thrown 
java.awt.image.Raster;;createInterleavedRaster;;1;;public static java.awt.image.WritableRaster createInterleavedRaster(java.awt.image.DataBuffer, int, int, int, int, int[], java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r4;;pattern detected param  r0 must not be null  otherwise an exception is thrown 
java.awt.image.Raster;;createBandedRaster;;1;;public static java.awt.image.WritableRaster createBandedRaster(java.awt.image.DataBuffer, int, int, int, int[], int[], java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r5;;pattern detected param  r0 must not be null  otherwise an exception is thrown 
java.awt.image.Raster;;createPackedRaster;;1;;public static java.awt.image.WritableRaster createPackedRaster(java.awt.image.DataBuffer, int, int, int, int[], java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r4;;pattern detected param  r0 must not be null  otherwise an exception is thrown 
java.awt.image.Raster;;createPackedRaster;;1;;public static java.awt.image.WritableRaster createPackedRaster(java.awt.image.DataBuffer, int, int, int, java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r3;;pattern detected param  r0 must not be null  otherwise an exception is thrown 
java.awt.image.Raster;;createWritableRaster;;1;;public static java.awt.image.WritableRaster createWritableRaster(java.awt.image.SampleModel, java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r0;;1;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r3 = virtualinvoke r0.<java.awt.image.SampleModel: java.awt.image.DataBuffer createDataBuffer()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
java.awt.image.Raster;;<init>;;2;;protected void <init>(java.awt.image.SampleModel, java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r1;;3;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r4 = virtualinvoke r1.<java.awt.image.SampleModel: java.awt.image.DataBuffer createDataBuffer()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i2 = virtualinvoke r1.<java.awt.image.SampleModel: int getWidth()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i3 = virtualinvoke r1.<java.awt.image.SampleModel: int getHeight()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;*;;r2;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r2.<java.awt.Point: int x>;;pattern detected param  r2 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r2.<java.awt.Point: int y>;;pattern detected param  r2 must not be null  because used in  FieldRef 
java.awt.image.Raster;;<init>;;2;;protected void <init>(java.awt.image.SampleModel, java.awt.image.DataBuffer, java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r3;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r3.<java.awt.Point: int x>;;pattern detected param  r3 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r3.<java.awt.Point: int y>;;pattern detected param  r3 must not be null  because used in  FieldRef 
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i2 = virtualinvoke r1.<java.awt.image.SampleModel: int getWidth()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i3 = virtualinvoke r1.<java.awt.image.SampleModel: int getHeight()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.awt.image.Raster;;createCompatibleWritableRaster;;1;;public java.awt.image.WritableRaster createCompatibleWritableRaster(java.awt.Rectangle);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ThrowStmt for param;;throw $r2;;pattern detected param  r1 must not be null  otherwise an exception is thrown 
java.awt.image.WritableRaster;;<init>;;2;;protected void <init>(java.awt.image.SampleModel, java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r1;;3;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r4 = virtualinvoke r1.<java.awt.image.SampleModel: java.awt.image.DataBuffer createDataBuffer()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i2 = virtualinvoke r1.<java.awt.image.SampleModel: int getWidth()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i3 = virtualinvoke r1.<java.awt.image.SampleModel: int getHeight()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;*;;r2;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r2.<java.awt.Point: int x>;;pattern detected param  r2 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r2.<java.awt.Point: int y>;;pattern detected param  r2 must not be null  because used in  FieldRef 
java.awt.image.WritableRaster;;<init>;;2;;protected void <init>(java.awt.image.SampleModel, java.awt.image.DataBuffer, java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r3;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r3.<java.awt.Point: int x>;;pattern detected param  r3 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r3.<java.awt.Point: int y>;;pattern detected param  r3 must not be null  because used in  FieldRef 
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i2 = virtualinvoke r1.<java.awt.image.SampleModel: int getWidth()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i3 = virtualinvoke r1.<java.awt.image.SampleModel: int getHeight()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.awt.image.WritableRaster;;setDataElements;;1;;public void setDataElements(int, int, java.awt.image.Raster);;;;;;;;;;
*;; * ;; * ;;*;;r1;;7;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i9 = virtualinvoke r1.<java.awt.image.Raster: int getMinX()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i10 = virtualinvoke r1.<java.awt.image.Raster: int getMinY()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i4 = virtualinvoke r1.<java.awt.image.Raster: int getWidth()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i5 = virtualinvoke r1.<java.awt.image.Raster: int getHeight()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i6 = virtualinvoke r1.<java.awt.image.Raster: int getMinX()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i7 = virtualinvoke r1.<java.awt.image.Raster: int getMinY()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = virtualinvoke r1.<java.awt.image.Raster: java.lang.Object getDataElements(int,int,int,int,java.lang.Object)>(i6, $i21, i4, 1, r2);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.awt.image.WritableRaster;;setRect;;1;;public void setRect(int, int, java.awt.image.Raster);;;;;;;;;;
*;; * ;; * ;;*;;r1;;8;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i2 = virtualinvoke r1.<java.awt.image.Raster: int getWidth()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i3 = virtualinvoke r1.<java.awt.image.Raster: int getHeight()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i4 = virtualinvoke r1.<java.awt.image.Raster: int getMinX()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i5 = virtualinvoke r1.<java.awt.image.Raster: int getMinY()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$r2 = virtualinvoke r1.<java.awt.image.Raster: java.awt.image.SampleModel getSampleModel()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r3 = virtualinvoke r1.<java.awt.image.Raster: int[] getPixels(int,int,int,int,int[])>(i4, $i32, i2, 1, r3);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r4 = virtualinvoke r1.<java.awt.image.Raster: float[] getPixels(int,int,int,int,float[])>(i4, $i34, i2, 1, r4);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r5 = virtualinvoke r1.<java.awt.image.Raster: double[] getPixels(int,int,int,int,double[])>(i4, $i36, i2, 1, r5);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.awt.image.SampleModel;;setPixel;;1;;public void setPixel(int, int, int[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i4 = r1[i2];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.SampleModel;;setPixel;;1;;public void setPixel(int, int, float[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f0 = r1[i2];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.SampleModel;;setPixel;;1;;public void setPixel(int, int, double[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$d0 = r1[i2];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.SampleModel;;setPixels;;1;;public void setPixels(int, int, int, int, int[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i18 = r1[$i10];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.SampleModel;;setPixels;;1;;public void setPixels(int, int, int, int, float[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f0 = r1[$i10];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.SampleModel;;setPixels;;1;;public void setPixels(int, int, int, int, double[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$d0 = r1[$i10];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.SampleModel;;setSamples;;1;;public void setSamples(int, int, int, int, int, int[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$i17 = r1[$i10];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.SampleModel;;setSamples;;1;;public void setSamples(int, int, int, int, int, float[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f0 = r1[$i10];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.image.SampleModel;;setSamples;;1;;public void setSamples(int, int, int, int, int, double[], java.awt.image.DataBuffer);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$d0 = r1[$i10];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.color.ICC_ColorSpace;;<init>;;1;;public void <init>(java.awt.color.ICC_Profile);;;;;;;;;;
*;; * ;; * ;;*;;r1;;3;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i1 = virtualinvoke r1.<java.awt.color.ICC_Profile: int getColorSpaceType()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$i2 = virtualinvoke r1.<java.awt.color.ICC_Profile: int getNumComponents()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i0 = virtualinvoke r1.<java.awt.color.ICC_Profile: int getProfileClass()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.awt.color.ICC_ColorSpace;;toRGB;;1;;public float[] toRGB(float[]);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f0 = r1[i2];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.color.ICC_ColorSpace;;fromRGB;;1;;public float[] fromRGB(float[]);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f0 = r1[i1];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.color.ICC_ColorSpace;;toCIEXYZ;;1;;public float[] toCIEXYZ(float[]);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f0 = r1[i2];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.color.ICC_ColorSpace;;fromCIEXYZ;;1;;public float[] fromCIEXYZ(float[]);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;ArrayRef for param;;$f2 = r1[i1];;pattern detected param  r1 must not be null  because used in  ArrayRef 
java.awt.Event;;getOldEventKey;;1;;static int getOldEventKey(java.awt.event.KeyEvent);;;;;;;;;;
*;; * ;; * ;;*;;r0;;2;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;i0 = virtualinvoke r0.<java.awt.event.KeyEvent: int getKeyCode()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;$c5 = virtualinvoke r0.<java.awt.event.KeyEvent: char getKeyChar()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
java.awt.Button;;eventEnabled;;1;;boolean eventEnabled(java.awt.AWTEvent);;;;;;;;;;
*;; * ;; * ;;*;;r1;;1;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r1.<java.awt.AWTEvent: int id>;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.awt.Point;;<init>;;1;;public void <init>(java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r1.<java.awt.Point: int x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r1.<java.awt.Point: int y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.awt.Point;;setLocation;;1;;public void setLocation(java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r1.<java.awt.Point: int x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i1 = r1.<java.awt.Point: int y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.awt.Point;;equals;;1;;public boolean equals(java.lang.Object);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$i1 = r2.<java.awt.Point: int x>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for local initialized from param;;$i3 = r2.<java.awt.Point: int y>;;pattern detected param  r1 must not be null it define a local r2which used in  FieldRef 
java.awt.MenuComponent;;dispatchEventImpl;;1;;void dispatchEventImpl(java.awt.AWTEvent);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.awt.AWTEvent: void setSource(java.lang.Object)>($r9);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;*;;InvokeExpr for param;;r2 = virtualinvoke r1.<java.awt.AWTEvent: java.awt.Event convertToOld()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
java.awt.Component;;pointRelativeToComponent;;1;;java.awt.Point pointRelativeToComponent(java.awt.Point);;;;;;;;;;
*;; * ;; * ;;*;;r1;;2;;;;;;
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i0 = r1.<java.awt.Point: int x>;;pattern detected param  r1 must not be null  because used in  FieldRef 
*;;*;;*;;*;;*;;*;;FieldRef for param;;$i3 = r1.<java.awt.Point: int y>;;pattern detected param  r1 must not be null  because used in  FieldRef 
java.awt.Component;;findUnderMouseInWindow;;1;;java.awt.Component findUnderMouseInWindow(java.awt.PointerInfo);;;;;;;;;;
