class name;;Method name;;number of detected pattern;;parameter;;number of occurrences;;occurrenceType;;unitOnwhichOccurrenceIsDetected;;commentFragment
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(java.lang.String)>(r3);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(61);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(34);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(34);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(60);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(47);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(java.lang.String)>($r17);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(47);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(60);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(47);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(java.lang.String)>($r22);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;print;;1
*;; * ;; * ;;r1;;23
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(char[])>(r2);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(60);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(java.lang.String)>($r8);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(32);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(java.lang.String)>(r4);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(61);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(34);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(34);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(60);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(47);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(java.lang.String)>($r18);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(47);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(10);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(char[])>(r2);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(60);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(47);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(java.lang.String)>($r24);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.PrintWriter: void write(int)>(10);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;writeEncoded;;2
*;; * ;; * ;;r1;;31
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(38);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(108);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(116);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(59);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(38);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(103);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(116);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(59);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(38);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(97);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(109);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(112);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(59);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(38);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(113);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(117);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(111);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(116);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(59);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(38);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(97);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(112);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(111);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(115);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(59);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(38);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(35);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(120);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(java.lang.String)>($r3);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(59);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.io.Writer: void write(int)>(c1);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;r2;;2
*;;*;;*;;*;;*;;InvokeExpr for param;;c1 = virtualinvoke r2.<java.lang.String: char charAt(int)>(i0);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$i3 = virtualinvoke r2.<java.lang.String: int length()>();;pattern detected param  r2 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;scanIdentifier;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(c0);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;scanWhitespace;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(c0);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;scanString;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(c1);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;scanPCData;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(c0);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;checkCDATA;;1
*;; * ;; * ;;r1;;6
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(93);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(93);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(93);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(62);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(93);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(c3);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;checkLiteral;;1
*;; * ;; * ;;r1;;2
*;;*;;*;;*;;*;;InvokeExpr for param;;i0 = virtualinvoke r1.<java.lang.String: int length()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$c3 = virtualinvoke r1.<java.lang.String: char charAt(int)>(i1);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;scanElement;;1
*;; * ;; * ;;r1;;5
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<nanoxml.XMLElement: void setName(java.lang.String)>(r4);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<nanoxml.XMLElement: void setAttribute(java.lang.String,java.lang.Object)>(r5, r3);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<nanoxml.XMLElement: void addChild(nanoxml.XMLElement)>(r10);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<nanoxml.XMLElement: void setContent(java.lang.String)>($r13);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<nanoxml.XMLElement: void setContent(java.lang.String)>($r14);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
nanoxml.XMLElement;;resolveEntity;;1
*;; * ;; * ;;r1;;2
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char)>(c4);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r1.<java.lang.StringBuffer: java.lang.StringBuffer append(char[])>(r14);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
net.n3.nanoxml.CDATAReader;;read;;1
*;; * ;; * ;;r1;;1
*;;*;;*;;*;;*;;ArrayRef for param;;r1[i2] = c3;;pattern detected param  r1 must not be null  because used in  ArrayRef 
net.n3.nanoxml.ContentReader;;read;;1
*;; * ;; * ;;r1;;2
*;;*;;*;;*;;*;;ArrayRef for param;;r1[i2] = c10;;pattern detected param  r1 must not be null  because used in  ArrayRef 
*;;*;;*;;*;;*;;ArrayRef for param;;r1[i2] = c4;;pattern detected param  r1 must not be null  because used in  ArrayRef 
net.n3.nanoxml.XMLUtil;;skipComment;;1
*;; * ;; * ;;r0;;4
*;;*;;*;;*;;*;;InvokeExpr for param;;$c2 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: char read()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$r1 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: java.lang.String getSystemID()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$i3 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: int getLineNr()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;c1 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: char read()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
net.n3.nanoxml.XMLUtil;;skipTag;;1
*;; * ;; * ;;r0;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;c1 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: char read()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
net.n3.nanoxml.XMLUtil;;scanPublicID;;1
*;; * ;; * ;;r0;;1
*;;*;;*;;*;;*;;InvokeExpr for param;;virtualinvoke r0.<java.lang.StringBuffer: java.lang.StringBuffer append(java.lang.String)>($r2);;pattern detected param  r0 must not be null  because used in  InvokeExpr 
net.n3.nanoxml.XMLUtil;;scanIdentifier;;1
*;; * ;; * ;;r0;;2
*;;*;;*;;*;;*;;InvokeExpr for param;;c0 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: char read()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: void unread(char)>(c0);;pattern detected param  r0 must not be null  because used in  InvokeExpr 
net.n3.nanoxml.XMLUtil;;scanString;;1
*;; * ;; * ;;r0;;6
*;;*;;*;;*;;*;;InvokeExpr for param;;i1 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: int getStreamLevel()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;c2 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: char read()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$r5 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: java.lang.String getSystemID()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$i4 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: int getLineNr()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: void unread(char)>(c3);;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$i9 = interfaceinvoke r0.<net.n3.nanoxml.IXMLReader: int getStreamLevel()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
net.n3.nanoxml.XMLUtil;;processEntity;;3
*;; * ;; * ;;r0;;2
*;;*;;*;;*;;*;;InvokeExpr for param;;$i0 = virtualinvoke r0.<java.lang.String: int length()>();;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;r4 = virtualinvoke r0.<java.lang.String: java.lang.String substring(int,int)>(1, $i1);;pattern detected param  r0 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;r1;;3
*;;*;;*;;*;;*;;InvokeExpr for param;;$r5 = interfaceinvoke r1.<net.n3.nanoxml.IXMLReader: java.lang.String getSystemID()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;$i2 = interfaceinvoke r1.<net.n3.nanoxml.IXMLReader: int getLineNr()>();;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;interfaceinvoke r1.<net.n3.nanoxml.IXMLReader: void startNewStream(java.io.Reader,boolean)>(r3, $z1);;pattern detected param  r1 must not be null  because used in  InvokeExpr 
*;; * ;; * ;;r2;;2
*;;*;;*;;*;;*;;InvokeExpr for param;;r3 = interfaceinvoke r2.<net.n3.nanoxml.IXMLEntityResolver: java.io.Reader getEntity(net.n3.nanoxml.IXMLReader,java.lang.String)>(r1, r4);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
*;;*;;*;;*;;*;;InvokeExpr for param;;z0 = interfaceinvoke r2.<net.n3.nanoxml.IXMLEntityResolver: boolean isExternalEntity(java.lang.String)>(r4);;pattern detected param  r2 must not be null  because used in  InvokeExpr 
net.n3.nanoxml.XMLUtil;;processCharLiteral;;1
*;; * ;; * ;;r0;;5
*;;*;;*;;*;;*;;InvokeExpr for param;;$c0 = virtualinvoke r0.<java.lang.String: char charAt(int)>(2);;pattern detected param  r0 must not be null  because used in  InvokeExpr 
